shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
W,40.750966,-73.934759,914,
W,40.750996,-73.934721,915,
W,40.751025,-73.934684,916,
W,40.751053,-73.934647,917,
W,40.751081,-73.934610,918,
W,40.751108,-73.934573,919,
W,40.751406,-73.934101,920,
W,40.751431,-73.934061,921,
W,40.751458,-73.934022,922,
W,40.751485,-73.933984,923,
W,40.751513,-73.933946,924,
W,40.751542,-73.933908,925,
W,40.751572,-73.933872,926,
W,40.751602,-73.933836,927,
W,40.751634,-73.933800,928,
W,40.751666,-73.933766,929,
W,40.751700,-73.933731,930,
W,40.751734,-73.933698,931,
W,40.751769,-73.933665,932,
W,40.751805,-73.933633,933,
W,40.751841,-73.933601,934,
W,40.751879,-73.933570,935,
W,40.752882,-73.932755,936,
W,40.756804,-73.929575,937,
W,40.761820,-73.925508,938,
W,40.766779,-73.921479,939,
W,40.767617,-73.920795,940,
W,40.767672,-73.920746,941,
W,40.767726,-73.920696,942,
W,40.767780,-73.920646,943,
W,40.767835,-73.920594,944,
W,40.767889,-73.920542,945,
W,40.767942,-73.920489,946,
W,40.767996,-73.920436,947,
W,40.768050,-73.920382,948,
W,40.768103,-73.920327,949,
W,40.768157,-73.920271,950,
W,40.768210,-73.920215,951,
W,40.768263,-73.920158,952,
W,40.768316,-73.920100,953,
W,40.768368,-73.920041,954,
W,40.768421,-73.919982,955,
W,40.770258,-73.917843,956,
W,40.775036,-73.912034,957,
