shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
6..N07R,40.813663,-73.898978,331,
6..N07R,40.813687,-73.898945,332,
6..N07R,40.813712,-73.898913,333,
6..N07R,40.813738,-73.898882,334,
6..N07R,40.816104,-73.896435,335,
6..N07R,40.820445,-73.891955,336,
6..N07R,40.820467,-73.891926,337,
6..N07R,40.820488,-73.891896,338,
6..N07R,40.820509,-73.891865,339,
6..N07R,40.820529,-73.891833,340,
6..N07R,40.820549,-73.891799,341,
6..N07R,40.820568,-73.891764,342,
6..N07R,40.820587,-73.891728,343,
6..N07R,40.820605,-73.891691,344,
6..N07R,40.820623,-73.891653,345,
6..N07R,40.820641,-73.891613,346,
6..N07R,40.820658,-73.891573,347,
6..N07R,40.820674,-73.891531,348,
6..N07R,40.820691,-73.891488,349,
6..N07R,40.820707,-73.891443,350,
6..N07R,40.820722,-73.891398,351,
6..N07R,40.820948,-73.890549,352,
6..N07R,40.821171,-73.889769,353,
6..N07R,40.821186,-73.889724,354,
6..N07R,40.821202,-73.889678,355,
6..N07R,40.82122,-73.889631,356,
6..N07R,40.82124,-73.889584,357,
6..N07R,40.821261,-73.889535,358,
6..N07R,40.821284,-73.889486,359,
6..N07R,40.821308,-73.889436,360,
6..N07R,40.821334,-73.889385,361,
6..N07R,40.821362,-73.889334,362,
6..N07R,40.821391,-73.889281,363,
6..N07R,40.821422,-73.889228,364,
6..N07R,40.821454,-73.889174,365,
6..N07R,40.821488,-73.889119,366,
6..N07R,40.821524,-73.889064,367,
6..N07R,40.821561,-73.889008,368,
6..N07R,40.822368,-73.887776,369,
6..N07R,40.82243,-73.887697,370,
6..N07R,40.822492,-73.88762,371,
6..N07R,40.822555,-73.887547,372,
6..N07R,40.82262,-73.887477,373,
6..N07R,40.822685,-73.88741,374,
6..N07R,40.822751,-73.887346,375,
6..N07R,40.822818,-73.887286,376,
6..N07R,40.822886,-73.887229,377,
6..N07R,40.822955,-73.887175,378,
6..N07R,40.823025,-73.887126,379,
6..N07R,40.823097,-73.887079,380,
6..N07R,40.82317,-73.887035,381,
6..N07R,40.823242,-73.886995,382,
6..N07R,40.823316,-73.886957,383,
6..N07R,40.823392,-73.88692,384,
6..N07R,40.823529,-73.886853,385,
6..N07R,40.823685,-73.886787,386,
6..N07R,40.823837,-73.886737,387,
6..N07R,40.823995,-73.886692,388,
6..N07R,40.824206,-73.886651,389,
6..N07R,40.824533,-73.886598,390,
6..N07R,40.826525,-73.886283,391,
6..N07R,40.827281,-73.88616,392,
6..N07R,40.827392,-73.886127,393,
6..N07R,40.827495,-73.886085,394,
6..N07R,40.827592,-73.886034,395,
6..N07R,40.827682,-73.885975,396,
6..N07R,40.827765,-73.885907,397,
6..N07R,40.827841,-73.885831,398,
6..N07R,40.82791,-73.885747,399,
6..N07R,40.827972,-73.885653,400,
6..N07R,40.828027,-73.885552,401,
6..N07R,40.828076,-73.885441,402,
6..N07R,40.828117,-73.885323,403,
6..N07R,40.828151,-73.885195,404,
6..N07R,40.828179,-73.885059,405,
6..N07R,40.828199,-73.884915,406,
6..N07R,40.828212,-73.884763,407,
6..N07R,40.828341,-73.882301,408,
6..N07R,40.828344,-73.88225,409,
6..N07R,40.828347,-73.882198,410,
6..N07R,40.828349,-73.882147,411,
6..N07R,40.828352,-73.882095,412,
6..N07R,40.828355,-73.882043,413,
6..N07R,40.828358,-73.881991,414,
6..N07R,40.828361,-73.881939,415,
6..N07R,40.828365,-73.881887,416,
6..N07R,40.828368,-73.881834,417,
6..N07R,40.828372,-73.881782,418,
6..N07R,40.828376,-73.881729,419,
6..N07R,40.828379,-73.881676,420,
6..N07R,40.828383,-73.881623,421,
6..N07R,40.828388,-73.881569,422,
6..N07R,40.828392,-73.881516,423,
6..N07R,40.828584,-73.879159,424,
6..N07R,40.828708,-73.877668,425,
6..N07R,40.828713,-73.877612,426,
6..N07R,40.828719,-73.877555,427,
6..N07R,40.828727,-73.877496,428,
6..N07R,40.828735,-73.877436,429,
6..N07R,40.828744,-73.877375,430,
6..N07R,40.828755,-73.877313,431,
6..N07R,40.828766,-73.877249,432,
6..N07R,40.828778,-73.877184,433,
6..N07R,40.828792,-73.877118,434,
6..N07R,40.828806,-73.877051,435,
6..N07R,40.828822,-73.876982,436,
6..N07R,40.828838,-73.876912,437,
6..N07R,40.828856,-73.876841,438,
6..N07R,40.828874,-73.876769,439,
6..N07R,40.828894,-73.876695,440,
6..N07R,40.829521,-73.874516,441,
6..N07R,40.831509,-73.867618,442,
6..N07R,40.833019,-73.862382,443,
6..N07R,40.833028,-73.862347,444,
6..N07R,40.833037,-73.862313,445,
6..N07R,40.833045,-73.862279,446,
6..N07R,40.833053,-73.862245,447,
6..N07R,40.83306,-73.862212,448,
6..N07R,40.833067,-73.862178,449,
6..N07R,40.833074,-73.862145,450,
6..N07R,40.83308,-73.862113,451,
6..N07R,40.833086,-73.86208,452,
6..N07R,40.833091,-73.862048,453,
6..N07R,40.833096,-73.862016,454,
6..N07R,40.8331,-73.861984,455,
6..N07R,40.833104,-73.861952,456,
6..N07R,40.833107,-73.861921,457,
6..N07R,40.83311,-73.86189,458,
6..N07R,40.833226,-73.860816,459,
